"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.301694430E-1,9.847147465E-1,-6.798930168E-1,-1.047633886E0,1.590425857E0
5.319907300E-1,9.932668805E-1,-7.153232098E-1,-1.100779176E0,1.646202048E0
5.342918280E-1,1.027475357E0,-7.776314616E-1,-1.207069755E0,1.765625581E0
5.360686150E-1,1.042136073E0,-8.399397135E-1,-1.312138557E0,1.874367603E0
5.383313280E-1,1.069014192E0,-8.723155856E-1,-1.369559884E0,1.944073069E0
5.401356920E-1,1.073290229E0,-9.370672703E-1,-1.481959105E0,2.055784466E0
5.425465200E-1,1.102000952E0,-9.981538057E-1,-1.587027907E0,2.174712555E0
5.443631920E-1,1.118494272E0,-1.053742528E0,-1.703703165E0,2.294342439E0
5.465524430E-1,1.130100727E0,-1.075733662E0,-1.763567924E0,2.354676706E0
5.484106150E-1,1.164309144E0,-1.134376764E0,-1.885740995E0,2.489667755E0
5.507702120E-1,1.189965487E0,-1.199739337E0,-2.014633656E0,2.629475442E0
5.524817300E-1,1.230893493E0,-1.280373573E0,-2.154521704E0,2.792206842E0
5.547612120E-1,1.245554209E0,-1.331686258E0,-2.229047298E0,2.879834272E0
5.566820380E-1,1.297477722E0,-1.435533285E0,-2.388483047E0,3.073931606E0
5.589319430E-1,1.346957922E0,-1.547321677E0,-2.548529863E0,3.271621078E0
5.607123460E-1,1.390329242E0,-1.673770785E0,-2.718350410E0,3.481946725E0
5.630344430E-1,1.422094345E0,-1.726916075E0,-2.808758497E0,3.590782053E0
5.650572890E-1,1.467298269E0,-1.833206654E0,-2.988352776E0,3.800508276E0
5.671475970E-1,1.525330544E0,-1.943162322E0,-3.167336226E0,4.016781279E0
5.690570760E-1,1.560149789E0,-1.998751044E0,-3.254079103E0,4.125300463E0
5.712353270E-1,1.611462474E0,-2.111150265E0,-3.442836523E0,4.348205385E0
5.730423840E-1,1.666440368E0,-2.221716881E0,-3.627928734E0,4.568907560E0
5.753588270E-1,1.730581284E0,-2.332894325E0,-3.803246975E0,4.785602895E0
5.771887300E-1,1.742798567E0,-2.386650562E0,-3.863722563E0,4.864339605E0
5.793985200E-1,1.796554685E0,-2.482556343E0,-3.965737104E0,5.011762715E0
5.812436920E-1,1.834428310E0,-2.579684019E0,-4.057977676E0,5.146559986E0
5.836146350E-1,1.871080279E0,-2.666426897E0,-4.143498898E0,5.270612576E0
5.854864610E-1,1.879021525E0,-2.712241650E0,-4.183815956E0,5.328348019E0
5.876281740E-1,1.902234316E0,-2.794097662E0,-4.251622200E0,5.431553044E0
5.895077300E-1,1.932166815E0,-2.851518869E0,-4.312708855E0,5.519409944E0
5.918464040E-1,1.949270964E0,-2.903442621E0,-4.369519234E0,5.596636014E0
5.936024220E-1,1.959655762E0,-2.921768427E0,-4.396397114E0,5.630744980E0
5.958377120E-1,1.980425119E0,-2.946814060E0,-4.457483768E0,5.698680400E0
5.976786920E-1,1.973705649E0,-2.965750694E0,-4.510017872E0,5.747299572E0
6.000106350E-1,1.993253350E0,-2.953533411E0,-4.559498310E0,5.786660813E0
6.018064220E-1,1.989588141E0,-2.945592165E0,-4.588208675E0,5.804018696E0
6.041143660E-1,1.980425119E0,-2.914438009E0,-4.630969524E0,5.819098839E0
6.059929990E-1,1.981035948E0,-2.864958048E0,-4.676173687E0,5.830873725E0
6.082226350E-1,1.971873045E0,-2.841134310E0,-4.696331978E0,5.832311850E0
6.100523840E-1,1.948660135E0,-2.798984528E0,-4.736649036E0,5.836731517E0
